Spacebar    32 
F1          27 79 80 
F2          27 79 81 
F3          27 79 82 
F4          27 79 83 
F5          27 91 49 53 126 
F6          27 91 49 55 126 
F7          27 91 49 56 126 
F8          27 91 49 57 126 
F9          27 91 50 48 126 
F10         27 91 50 49 126 
F11         27 91 50 51 59 
F12         51 126 
Insert      27 91 50 126 
Home        27 91 72 
PageUp      27 91 53 126 
Delete      27 91 51 126 
End         27 91 70 
PageDown    27 91 54 126 
Arrow Up    27 91 65 
Arrow Left  27 91 68 
Arrow Down  27 91 66 
Arrow Right 27 91 67 
